,year,month,day,weight,flag,station,co2
0,1958,3,29,4,0,MLO,316.1
1,1958,4,5,6,0,MLO,317.3
2,1958,4,12,4,0,MLO,317.6
3,1958,4,19,6,0,MLO,317.5
4,1958,4,26,2,0,MLO,316.4
5,1958,5,3,6,0,MLO,316.9
6,1958,5,17,1,0,MLO,317.5
7,1958,5,24,5,0,MLO,317.9
8,1958,7,5,2,0,MLO,315.8
9,1958,7,12,4,0,MLO,315.8
10,1958,7,19,4,0,MLO,315.4
11,1958,7,26,7,0,MLO,315.5
12,1958,8,2,3,0,MLO,315.6
13,1958,8,9,4,0,MLO,315.1
14,1958,8,16,3,0,MLO,315.0
15,1958,8,30,5,0,MLO,314.1
16,1958,9,6,1,0,MLO,313.5
17,1958,11,8,4,0,MLO,313.0
18,1958,11,15,7,0,MLO,313.2
19,1958,11,22,5,0,MLO,313.5
20,1958,11,29,7,0,MLO,314.0
21,1958,12,6,6,0,MLO,314.5
22,1958,12,13,7,0,MLO,314.4
23,1958,12,20,4,0,MLO,314.7
24,1958,12,27,2,0,MLO,315.2
25,1959,1,3,3,0,MLO,315.2
26,1959,1,10,7,0,MLO,315.5
27,1959,1,17,7,0,MLO,315.6
28,1959,1,24,5,0,MLO,315.8
29,1959,1,31,2,0,MLO,315.4
30,1959,2,14,1,0,MLO,316.9
31,1959,2,21,7,0,MLO,316.6
32,1959,2,28,3,0,MLO,316.6
33,1959,3,7,7,0,MLO,316.8
34,1959,3,21,4,0,MLO,316.7
35,1959,3,28,6,0,MLO,316.7
36,1959,4,4,7,0,MLO,317.7
37,1959,4,11,7,0,MLO,317.1
38,1959,4,18,6,0,MLO,317.6
39,1959,4,25,5,0,MLO,318.3
40,1959,5,2,3,0,MLO,318.2
41,1959,5,9,1,0,MLO,318.7
42,1959,5,16,7,0,MLO,318.0
43,1959,5,23,5,0,MLO,318.4
44,1959,6,6,7,0,MLO,318.5
45,1959,6,13,5,0,MLO,318.1
46,1959,6,20,5,0,MLO,317.8
47,1959,6,27,2,0,MLO,317.7
48,1959,7,4,7,0,MLO,316.8
49,1959,7,11,7,0,MLO,316.8
50,1959,7,18,5,0,MLO,316.4
51,1959,7,25,4,0,MLO,316.1
52,1959,8,1,7,0,MLO,315.6
53,1959,8,8,3,0,MLO,314.9
54,1959,8,22,1,0,MLO,315.0
55,1959,8,29,4,0,MLO,314.1
56,1959,9,5,5,0,MLO,314.4
57,1959,9,12,3,0,MLO,313.9
58,1959,9,19,5,0,MLO,313.5
59,1959,9,26,4,0,MLO,313.5
60,1959,10,3,6,0,MLO,313.0
61,1959,10,10,3,0,MLO,313.1
62,1959,10,17,7,0,MLO,313.4
63,1959,10,24,7,0,MLO,313.4
64,1959,10,31,7,0,MLO,314.1
65,1959,11,7,2,0,MLO,314.4
66,1959,11,14,5,0,MLO,314.8
67,1959,11,21,6,0,MLO,315.2
68,1959,11,28,5,0,MLO,315.1
69,1959,12,5,4,0,MLO,315.0
70,1959,12,12,5,0,MLO,315.6
71,1959,12,19,6,0,MLO,315.8
72,1959,12,26,6,0,MLO,315.7
73,1960,1,2,4,0,MLO,315.7
74,1960,1,9,5,0,MLO,316.4
75,1960,1,16,6,0,MLO,316.7
76,1960,1,23,5,0,MLO,316.5
77,1960,1,30,6,0,MLO,316.6
78,1960,2,6,2,0,MLO,316.6
79,1960,2,13,6,0,MLO,316.9
80,1960,2,20,4,0,MLO,317.4
81,1960,2,27,5,0,MLO,317.0
82,1960,3,5,7,0,MLO,316.9
83,1960,3,12,7,0,MLO,317.7
84,1960,3,19,4,0,MLO,318.0
85,1960,3,26,6,0,MLO,317.7
86,1960,4,2,5,0,MLO,318.6
87,1960,4,9,3,0,MLO,319.3
88,1960,4,16,7,0,MLO,319.0
89,1960,4,23,7,0,MLO,319.0
90,1960,4,30,1,0,MLO,319.7
91,1960,5,7,6,0,MLO,319.9
92,1960,5,14,5,0,MLO,319.8
93,1960,5,21,6,0,MLO,320.0
94,1960,5,28,7,0,MLO,320.0
95,1960,6,4,3,0,MLO,319.4
96,1960,6,11,5,0,MLO,320.0
97,1960,6,18,3,0,MLO,319.4
98,1960,6,25,2,0,MLO,319.0
99,1960,7,2,5,0,MLO,318.1
100,1960,7,9,4,0,MLO,318.6
101,1960,7,16,5,0,MLO,318.4
102,1960,7,23,6,0,MLO,317.9
103,1960,7,30,5,0,MLO,317.3
104,1960,8,6,3,0,MLO,316.6
105,1960,8,13,6,0,MLO,316.7
106,1960,8,20,5,0,MLO,315.1
107,1960,8,27,5,0,MLO,314.7
108,1960,9,3,7,0,MLO,314.7
109,1960,9,10,7,0,MLO,314.5
110,1960,9,17,6,0,MLO,314.2
111,1960,9,24,5,0,MLO,313.3
112,1960,10,1,2,0,MLO,313.6
113,1960,10,8,4,0,MLO,313.3
114,1960,10,15,5,0,MLO,313.9
115,1960,10,22,6,0,MLO,314.2
116,1960,10,29,3,0,MLO,314.2
117,1960,11,5,7,0,MLO,314.5
118,1960,11,12,6,0,MLO,315.1
119,1960,11,19,7,0,MLO,315.1
120,1960,11,26,7,0,MLO,315.4
121,1960,12,3,5,0,MLO,315.8
122,1960,12,10,7,0,MLO,316.0
123,1960,12,17,7,0,MLO,316.2
124,1960,12,24,5,0,MLO,316.4
125,1960,12,31,7,0,MLO,316.6
126,1961,1,7,6,0,MLO,316.7
127,1961,1,14,7,0,MLO,317.0
128,1961,1,21,7,0,MLO,317.0
129,1961,1,28,7,0,MLO,317.0
130,1961,2,4,6,0,MLO,317.0
131,1961,2,11,6,0,MLO,317.7
132,1961,2,18,7,0,MLO,317.9
133,1961,2,25,7,0,MLO,318.0
134,1961,3,4,5,0,MLO,318.0
135,1961,3,11,4,0,MLO,318.5
136,1961,3,18,6,0,MLO,318.9
137,1961,3,25,7,0,MLO,318.7
138,1961,4,1,7,0,MLO,319.4
139,1961,4,8,6,0,MLO,319.5
140,1961,4,15,7,0,MLO,318.9
141,1961,4,22,6,0,MLO,319.7
142,1961,4,29,6,0,MLO,319.6
143,1961,5,6,7,0,MLO,320.6
144,1961,5,13,3,0,MLO,320.4
145,1961,5,20,6,0,MLO,320.6
146,1961,5,27,7,0,MLO,320.3
147,1961,6,3,6,0,MLO,320.0
148,1961,6,10,5,0,MLO,320.0
149,1961,6,17,7,0,MLO,319.6
150,1961,6,24,6,0,MLO,319.4
151,1961,7,1,5,0,MLO,319.2
152,1961,7,8,6,0,MLO,319.0
153,1961,7,15,5,0,MLO,318.4
154,1961,7,22,1,0,MLO,317.1
155,1961,7,29,3,0,MLO,317.9
156,1961,8,5,7,0,MLO,317.9
157,1961,8,12,2,0,MLO,317.3
158,1961,8,19,5,0,MLO,316.7
159,1961,8,26,6,0,MLO,315.2
160,1961,9,2,5,0,MLO,315.2
161,1961,9,9,5,0,MLO,314.9
162,1961,9,16,5,0,MLO,314.5
163,1961,9,23,4,0,MLO,315.0
164,1961,9,30,4,0,MLO,315.6
165,1961,10,7,5,0,MLO,314.9
166,1961,10,14,7,0,MLO,315.4
167,1961,10,21,7,0,MLO,315.4
168,1961,10,28,6,0,MLO,315.7
169,1961,11,4,6,0,MLO,315.8
170,1961,11,11,5,0,MLO,315.7
171,1961,11,18,7,0,MLO,316.2
172,1961,11,25,6,0,MLO,316.5
173,1961,12,2,5,0,MLO,316.5
174,1961,12,9,5,0,MLO,317.0
175,1961,12,16,6,0,MLO,316.9
176,1961,12,23,3,0,MLO,317.1
177,1961,12,30,7,0,MLO,317.4
178,1962,1,6,5,0,MLO,317.9
179,1962,1,13,7,0,MLO,318.1
180,1962,1,20,5,0,MLO,318.0
181,1962,1,27,7,0,MLO,317.7
182,1962,2,3,7,0,MLO,318.0
183,1962,2,10,4,0,MLO,318.3
184,1962,2,17,4,0,MLO,318.9
185,1962,2,24,1,0,MLO,319.3
186,1962,3,3,6,0,MLO,319.2
187,1962,3,10,6,0,MLO,319.4
188,1962,3,17,7,0,MLO,319.9
189,1962,3,24,4,0,MLO,319.7
190,1962,3,31,5,0,MLO,320.2
191,1962,4,7,3,0,MLO,320.2
192,1962,4,14,6,0,MLO,321.0
193,1962,4,21,2,0,MLO,320.7
194,1962,4,28,5,0,MLO,320.3
195,1962,5,5,4,0,MLO,320.8
196,1962,5,12,5,0,MLO,320.7
197,1962,5,19,5,0,MLO,321.0
198,1962,5,26,5,0,MLO,321.1
199,1962,6,2,6,0,MLO,320.9
200,1962,6,9,5,0,MLO,320.8
201,1962,6,16,6,0,MLO,320.5
202,1962,6,23,6,0,MLO,320.1
203,1962,6,30,7,0,MLO,320.2
204,1962,7,7,6,0,MLO,320.1
205,1962,7,14,3,0,MLO,319.9
206,1962,7,21,2,0,MLO,319.0
207,1962,7,28,7,0,MLO,318.7
208,1962,8,4,3,0,MLO,318.6
209,1962,8,11,6,0,MLO,317.2
210,1962,8,18,3,0,MLO,317.4
211,1962,9,15,5,0,MLO,316.6
212,1962,9,22,4,0,MLO,315.7
213,1962,9,29,7,0,MLO,315.9
214,1962,10,6,5,0,MLO,315.1
215,1962,10,13,4,0,MLO,315.4
216,1962,10,20,5,0,MLO,315.7
217,1962,10,27,5,0,MLO,315.7
218,1962,11,3,5,0,MLO,315.9
219,1962,11,10,6,0,MLO,316.4
220,1962,11,17,7,0,MLO,316.9
221,1962,11,24,7,0,MLO,317.0
222,1962,12,1,7,0,MLO,317.1
223,1962,12,8,5,0,MLO,317.3
224,1962,12,15,7,0,MLO,317.6
225,1962,12,22,4,0,MLO,318.1
226,1963,1,5,5,0,MLO,318.5
227,1963,1,12,7,0,MLO,318.7
228,1963,1,19,7,0,MLO,318.9
229,1963,1,26,7,0,MLO,318.8
230,1963,2,2,7,0,MLO,318.7
231,1963,2,9,7,0,MLO,318.9
232,1963,2,23,2,0,MLO,319.3
233,1963,3,2,5,0,MLO,319.3
234,1963,3,9,6,0,MLO,319.7
235,1963,3,16,5,0,MLO,319.8
236,1963,3,23,7,0,MLO,320.3
237,1963,3,30,5,0,MLO,320.2
238,1963,4,6,3,0,MLO,320.3
239,1963,4,13,6,0,MLO,320.9
240,1963,4,20,6,0,MLO,322.0
241,1963,4,27,6,0,MLO,321.9
242,1963,5,11,3,0,MLO,321.9
243,1963,5,18,5,0,MLO,322.2
244,1963,5,25,6,0,MLO,322.2
245,1963,6,1,3,0,MLO,322.3
246,1963,6,8,2,0,MLO,322.0
247,1963,6,15,6,0,MLO,321.8
248,1963,6,22,4,0,MLO,320.8
249,1963,6,29,7,0,MLO,320.4
250,1963,7,6,7,0,MLO,320.1
251,1963,7,13,5,0,MLO,319.8
252,1963,7,20,7,0,MLO,319.5
253,1963,7,27,6,0,MLO,319.0
254,1963,8,3,3,0,MLO,318.6
255,1963,8,10,7,0,MLO,318.2
256,1963,8,17,3,0,MLO,317.7
257,1963,8,24,7,0,MLO,317.1
258,1963,8,31,3,0,MLO,316.4
259,1963,9,7,7,0,MLO,316.8
260,1963,9,14,7,0,MLO,315.9
261,1963,9,21,5,0,MLO,316.0
262,1963,9,28,4,0,MLO,315.9
263,1963,10,5,3,0,MLO,316.2
264,1963,10,12,7,0,MLO,315.6
265,1963,10,19,6,0,MLO,316.1
266,1963,10,26,7,0,MLO,316.3
267,1963,11,2,4,0,MLO,316.6
268,1963,11,9,6,0,MLO,316.8
269,1963,11,16,1,0,MLO,317.1
270,1963,11,30,5,0,MLO,317.5
271,1963,12,7,6,0,MLO,318.0
272,1963,12,14,4,0,MLO,318.2
273,1963,12,21,7,0,MLO,318.5
274,1963,12,28,7,0,MLO,318.7
275,1964,1,4,6,0,MLO,319.0
276,1964,1,11,6,0,MLO,319.4
277,1964,1,18,6,0,MLO,319.8
278,1964,5,30,2,0,MLO,322.0
279,1964,6,6,4,0,MLO,322.0
280,1964,6,27,3,0,MLO,321.5
281,1964,7,4,4,0,MLO,321.1
282,1964,7,11,2,0,MLO,319.9
283,1964,7,18,7,0,MLO,320.2
284,1964,7,25,5,0,MLO,320.0
285,1964,8,1,2,0,MLO,319.1
286,1964,8,15,4,0,MLO,318.6
287,1964,8,22,6,0,MLO,318.2
288,1964,8,29,5,0,MLO,318.1
289,1964,9,5,5,0,MLO,317.4
290,1964,9,12,4,0,MLO,316.5
291,1964,9,19,2,0,MLO,315.5
292,1964,9,26,2,0,MLO,317.0
293,1964,10,3,4,0,MLO,316.9
294,1964,10,10,7,0,MLO,316.5
295,1964,10,17,7,0,MLO,316.8
296,1964,10,24,2,0,MLO,317.0
297,1964,10,31,6,0,MLO,317.6
298,1964,11,7,7,0,MLO,317.7
299,1964,11,14,7,0,MLO,317.6
300,1964,11,21,6,0,MLO,317.5
301,1964,11,28,6,0,MLO,318.1
302,1964,12,5,6,0,MLO,318.4
303,1964,12,12,7,0,MLO,318.5
304,1964,12,19,7,0,MLO,318.9
305,1964,12,26,6,0,MLO,318.9
306,1965,1,2,5,0,MLO,319.0
307,1965,1,9,7,0,MLO,319.1
308,1965,1,16,7,0,MLO,319.1
309,1965,1,23,4,0,MLO,319.7
310,1965,1,30,7,0,MLO,320.1
311,1965,2,6,7,0,MLO,320.2
312,1965,2,13,7,0,MLO,320.1
313,1965,2,20,7,0,MLO,320.7
314,1965,2,27,6,0,MLO,320.8
315,1965,3,6,5,0,MLO,321.0
316,1965,3,13,7,0,MLO,320.9
317,1965,3,20,7,0,MLO,320.4
318,1965,3,27,7,0,MLO,321.4
319,1965,4,3,7,0,MLO,321.9
320,1965,4,10,4,0,MLO,322.2
321,1965,4,17,7,0,MLO,322.1
322,1965,4,24,5,0,MLO,321.8
323,1965,5,1,7,0,MLO,322.4
324,1965,5,8,6,0,MLO,322.2
325,1965,5,15,7,0,MLO,321.9
326,1965,5,22,7,0,MLO,321.6
327,1965,5,29,5,0,MLO,322.2
328,1965,6,5,7,0,MLO,321.8
329,1965,6,12,7,0,MLO,321.7
330,1965,6,19,7,0,MLO,321.7
331,1965,6,26,6,0,MLO,321.9
332,1965,7,3,7,0,MLO,321.9
333,1965,7,10,6,0,MLO,321.8
334,1965,7,17,3,0,MLO,321.7
335,1965,7,24,6,0,MLO,320.4
336,1965,7,31,5,0,MLO,319.4
337,1965,8,7,7,0,MLO,319.4
338,1965,8,14,5,0,MLO,318.0
339,1965,8,21,6,0,MLO,318.8
340,1965,8,28,3,0,MLO,318.7
341,1965,9,4,7,0,MLO,318.3
342,1965,9,11,4,0,MLO,318.0
343,1965,9,18,6,0,MLO,318.2
344,1965,9,25,6,0,MLO,316.8
345,1965,10,2,6,0,MLO,316.6
346,1965,10,9,7,0,MLO,317.2
347,1965,10,16,7,0,MLO,317.8
348,1965,10,23,7,0,MLO,317.5
349,1965,10,30,7,0,MLO,317.6
350,1965,11,6,7,0,MLO,318.3
351,1965,11,13,7,0,MLO,319.2
352,1965,11,20,7,0,MLO,318.9
353,1965,11,27,7,0,MLO,319.1
354,1965,12,4,7,0,MLO,319.0
355,1965,12,11,5,0,MLO,319.3
356,1965,12,18,6,0,MLO,319.3
357,1965,12,25,6,0,MLO,319.7
358,1966,1,1,7,0,MLO,319.6
359,1966,1,8,7,0,MLO,320.4
360,1966,1,15,7,0,MLO,320.6
361,1966,1,22,7,0,MLO,321.0
362,1966,1,29,7,0,MLO,321.1
363,1966,2,5,7,0,MLO,321.2
364,1966,2,12,6,0,MLO,321.7
365,1966,2,19,7,0,MLO,321.6
366,1966,2,26,7,0,MLO,321.8
367,1966,3,5,4,0,MLO,322.1
368,1966,3,12,5,0,MLO,322.1
369,1966,3,19,6,0,MLO,322.5
370,1966,3,26,5,0,MLO,322.8
371,1966,4,2,7,0,MLO,323.5
372,1966,4,9,3,0,MLO,323.6
373,1966,4,16,7,0,MLO,323.8
374,1966,4,23,4,0,MLO,323.9
375,1966,4,30,6,0,MLO,323.5
376,1966,5,7,6,0,MLO,324.0
377,1966,5,14,7,0,MLO,324.1
378,1966,5,21,7,0,MLO,323.7
379,1966,5,28,7,0,MLO,324.3
380,1966,6,4,7,0,MLO,324.0
381,1966,6,11,7,0,MLO,323.8
382,1966,6,18,7,0,MLO,323.7
383,1966,6,25,6,0,MLO,323.3
384,1966,7,2,5,0,MLO,322.8
385,1966,7,9,6,0,MLO,322.9
386,1966,8,6,4,0,MLO,321.3
387,1966,8,13,3,0,MLO,320.8
388,1966,8,20,3,0,MLO,319.1
389,1966,8,27,7,0,MLO,319.6
390,1966,9,3,4,0,MLO,319.9
391,1966,9,10,3,0,MLO,318.2
392,1966,9,17,7,0,MLO,318.4
393,1966,9,24,5,0,MLO,318.3
394,1966,10,1,6,0,MLO,317.9
395,1966,10,8,7,0,MLO,317.9
396,1966,10,15,4,0,MLO,318.2
397,1966,10,22,4,0,MLO,318.6
398,1966,10,29,6,0,MLO,318.3
399,1966,11,12,4,0,MLO,319.5
400,1966,11,19,5,0,MLO,320.0
401,1966,11,26,6,0,MLO,320.2
402,1966,12,3,3,0,MLO,320.8
403,1966,12,10,7,0,MLO,320.8
404,1966,12,17,5,0,MLO,321.1
405,1966,12,24,4,0,MLO,321.3
406,1966,12,31,7,0,MLO,321.3
407,1967,1,7,6,0,MLO,321.9
408,1967,1,14,2,0,MLO,322.9
409,1967,2,4,5,0,MLO,322.1
410,1967,2,11,5,0,MLO,322.2
411,1967,2,18,6,0,MLO,322.8
412,1967,2,25,4,0,MLO,322.6
413,1967,3,4,6,0,MLO,322.9
414,1967,3,11,6,0,MLO,322.6
415,1967,3,18,4,0,MLO,323.3
416,1967,3,25,2,0,MLO,323.2
417,1967,4,1,3,0,MLO,323.1
418,1967,4,8,7,0,MLO,324.2
419,1967,4,15,5,0,MLO,324.4
420,1967,4,22,3,0,MLO,324.6
421,1967,4,29,6,0,MLO,325.1
422,1967,5,6,1,0,MLO,325.2
423,1967,5,13,5,0,MLO,324.7
424,1967,5,20,5,0,MLO,325.0
425,1967,5,27,5,0,MLO,324.9
426,1967,6,3,4,0,MLO,324.9
427,1967,6,10,6,0,MLO,324.6
428,1967,6,17,4,0,MLO,323.3
429,1967,6,24,6,0,MLO,323.5
430,1967,7,1,6,0,MLO,322.8
431,1967,7,8,7,0,MLO,322.8
432,1967,7,15,5,0,MLO,322.4
433,1967,7,22,5,0,MLO,322.4
434,1967,7,29,6,0,MLO,322.0
435,1967,8,5,7,0,MLO,321.6
436,1967,8,12,5,0,MLO,321.4
437,1967,8,19,5,0,MLO,320.4
438,1967,8,26,5,0,MLO,320.0
439,1967,9,2,4,0,MLO,320.0
440,1967,9,9,6,0,MLO,319.4
441,1967,9,16,7,0,MLO,319.3
442,1967,9,23,7,0,MLO,319.0
443,1967,9,30,7,0,MLO,318.8
444,1967,10,7,7,0,MLO,318.8
445,1967,10,14,6,0,MLO,319.8
446,1967,10,21,7,0,MLO,319.4
447,1967,10,28,7,0,MLO,319.8
448,1967,11,4,7,0,MLO,320.0
449,1967,11,11,7,0,MLO,320.3
450,1967,11,18,7,0,MLO,320.9
451,1967,11,25,7,0,MLO,321.5
452,1967,12,2,7,0,MLO,321.4
453,1967,12,9,7,0,MLO,321.8
454,1967,12,16,7,0,MLO,322.2
455,1967,12,23,7,0,MLO,321.9
456,1967,12,30,7,0,MLO,322.3
457,1968,1,6,7,0,MLO,322.4
458,1968,1,13,7,0,MLO,322.5
459,1968,1,20,6,0,MLO,322.5
460,1968,1,27,7,0,MLO,322.8
461,1968,2,3,7,0,MLO,322.6
462,1968,2,10,7,0,MLO,323.1
463,1968,2,17,7,0,MLO,323.4
464,1968,2,24,7,0,MLO,323.1
465,1968,3,2,6,0,MLO,323.1
466,1968,3,9,4,0,MLO,323.8
467,1968,3,16,6,0,MLO,323.8
468,1968,3,23,6,0,MLO,324.2
469,1968,3,30,5,0,MLO,324.7
470,1968,4,6,7,0,MLO,324.7
471,1968,4,13,6,0,MLO,325.0
472,1968,4,20,5,0,MLO,324.8
473,1968,4,27,7,0,MLO,325.4
474,1968,5,4,7,0,MLO,325.6
475,1968,5,11,7,0,MLO,325.0
476,1968,5,18,6,0,MLO,325.5
477,1968,5,25,7,0,MLO,325.8
478,1968,6,1,5,0,MLO,325.6
479,1968,6,8,7,0,MLO,325.7
480,1968,6,15,4,0,MLO,325.5
481,1968,6,22,4,0,MLO,324.9
482,1968,6,29,5,0,MLO,324.6
483,1968,7,6,6,0,MLO,324.7
484,1968,7,13,7,0,MLO,324.1
485,1968,7,20,7,0,MLO,323.9
486,1968,7,27,7,0,MLO,323.4
487,1968,8,3,5,0,MLO,322.4
488,1968,8,10,5,0,MLO,322.2
489,1968,8,17,3,0,MLO,322.0
490,1968,8,24,6,0,MLO,321.7
491,1968,8,31,6,0,MLO,321.4
492,1968,9,7,7,0,MLO,320.4
493,1968,9,14,7,0,MLO,321.1
494,1968,9,21,7,0,MLO,319.7
495,1968,9,28,7,0,MLO,319.8
496,1968,10,5,7,0,MLO,320.5
497,1968,10,12,6,0,MLO,320.5
498,1968,10,19,7,0,MLO,320.2
499,1968,10,26,7,0,MLO,319.9
500,1968,11,2,5,0,MLO,320.7
501,1968,11,9,7,0,MLO,320.8
502,1968,11,16,7,0,MLO,321.4
503,1968,11,23,7,0,MLO,321.7
504,1968,11,30,6,0,MLO,322.0
505,1968,12,7,4,0,MLO,322.4
506,1968,12,14,7,0,MLO,322.9
507,1968,12,21,5,0,MLO,323.3
508,1968,12,28,6,0,MLO,323.1
509,1969,1,4,6,0,MLO,323.3
510,1969,1,11,6,0,MLO,324.0
511,1969,1,18,6,0,MLO,324.3
512,1969,1,25,7,0,MLO,324.1
513,1969,2,1,7,0,MLO,324.1
514,1969,2,8,5,0,MLO,323.9
515,1969,2,15,5,0,MLO,324.3
516,1969,2,22,5,0,MLO,324.8
517,1969,3,1,7,0,MLO,325.1
518,1969,3,8,7,0,MLO,325.5
519,1969,3,15,7,0,MLO,325.7
520,1969,3,22,6,0,MLO,325.9
521,1969,3,29,7,0,MLO,325.8
522,1969,4,5,7,0,MLO,326.2
523,1969,4,12,7,0,MLO,327.1
524,1969,4,19,6,0,MLO,326.5
525,1969,4,26,6,0,MLO,326.5
526,1969,5,3,7,0,MLO,327.5
527,1969,5,10,7,0,MLO,327.8
528,1969,5,17,6,0,MLO,326.8
529,1969,5,24,7,0,MLO,326.9
530,1969,5,31,5,0,MLO,327.4
531,1969,6,7,6,0,MLO,326.5
532,1969,6,14,4,0,MLO,326.7
533,1969,6,21,5,0,MLO,326.7
534,1969,6,28,7,0,MLO,326.3
535,1969,7,5,6,0,MLO,326.1
536,1969,7,12,7,0,MLO,326.0
537,1969,7,19,6,0,MLO,325.7
538,1969,7,26,4,0,MLO,325.4
539,1969,8,2,5,0,MLO,324.5
540,1969,8,9,7,0,MLO,324.5
541,1969,8,16,7,0,MLO,323.1
542,1969,8,23,5,0,MLO,322.5
543,1969,8,30,7,0,MLO,323.1
544,1969,9,6,6,0,MLO,322.2
545,1969,9,13,6,0,MLO,322.7
546,1969,9,20,4,0,MLO,322.8
547,1969,9,27,7,0,MLO,321.9
548,1969,10,4,7,0,MLO,321.5
549,1969,10,11,7,0,MLO,321.8
550,1969,10,18,7,0,MLO,322.0
551,1969,10,25,7,0,MLO,321.9
552,1969,11,1,7,0,MLO,322.2
553,1969,11,8,7,0,MLO,322.6
554,1969,11,15,7,0,MLO,322.7
555,1969,11,22,7,0,MLO,323.1
556,1969,11,29,7,0,MLO,323.5
557,1969,12,6,7,0,MLO,323.9
558,1969,12,13,7,0,MLO,323.9
559,1969,12,20,7,0,MLO,324.2
560,1969,12,27,7,0,MLO,324.5
561,1970,1,3,7,0,MLO,324.7
562,1970,1,10,7,0,MLO,325.4
563,1970,1,17,7,0,MLO,325.0
564,1970,1,24,7,0,MLO,324.8
565,1970,1,31,7,0,MLO,325.5
566,1970,2,7,7,0,MLO,325.7
567,1970,2,14,7,0,MLO,326.0
